Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
3676,Biochemist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3677,Biochemist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3678,Biochemist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3679,Biochemist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3680,Biochemist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3681,Biotechnologist,Numeracy,8,High,Prepare a report that summarises a business’s current financial position and forecasts future earnings and income
3682,Biotechnologist,Writing,8,High,Write a legally binding contract for services provided by one business to another
3683,Biotechnologist,Reading,9,High,Read a scientific journal article describing surgical procedures
3684,Biotechnologist,Learning,9,High,Identify the implications of a new scientific theory for product design
3685,Biotechnologist,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
3686,Biotechnologist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3687,Biotechnologist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3688,Biotechnologist,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3689,Biotechnologist,Teamwork,4,Intermediate,Cultivate a small informal network of people who may be able to advise on a project from a diverse range of perspectives.
3690,Biotechnologist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3691,Botanist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3692,Botanist,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3693,Botanist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3694,Botanist,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
3695,Botanist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3696,Botanist,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
3697,Botanist,Writing,7,Intermediate,Write a detailed literature review
3698,Botanist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3699,Botanist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3700,Botanist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3701,Microbiologist,Writing,8,High,Write a legally binding contract for services provided by one business to another
3702,Microbiologist,Reading,9,High,Read a scientific journal article describing surgical procedures
3703,Microbiologist,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3704,Microbiologist,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
3705,Microbiologist,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3706,Microbiologist,Teamwork,4,Intermediate,Cultivate a small informal network of people who may be able to advise on a project from a diverse range of perspectives.
3707,Microbiologist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3708,Microbiologist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3709,Microbiologist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3710,Microbiologist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3711,Zoologist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3712,Zoologist,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3713,Zoologist,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3714,Zoologist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3715,Zoologist,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
3716,Zoologist,Writing,7,Intermediate,Write a detailed literature review
3717,Zoologist,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
3718,Zoologist,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3719,Zoologist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3720,Zoologist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3721,Medical Laboratory Scientist,Writing,8,High,Write a legally binding contract for services provided by one business to another
3722,Medical Laboratory Scientist,Reading,9,High,Read a scientific journal article describing surgical procedures
3723,Medical Laboratory Scientist,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3724,Medical Laboratory Scientist,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
3725,Medical Laboratory Scientist,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
3726,Medical Laboratory Scientist,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3727,Medical Laboratory Scientist,Teamwork,6,Intermediate,Initiate team problem solving sessions
3728,Medical Laboratory Scientist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3729,Medical Laboratory Scientist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3730,Medical Laboratory Scientist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3731,Respiratory Scientist,Reading,9,High,Read a scientific journal article describing surgical procedures
3732,Respiratory Scientist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3733,Respiratory Scientist,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
3734,Respiratory Scientist,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3735,Respiratory Scientist,Teamwork,6,Intermediate,Initiate team problem solving sessions
3736,Respiratory Scientist,Writing,7,Intermediate,Write a detailed literature review
3737,Respiratory Scientist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3738,Respiratory Scientist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3739,Respiratory Scientist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3740,Respiratory Scientist,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3741,Veterinarian,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
3742,Veterinarian,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3743,Veterinarian,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3744,Veterinarian,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3745,Veterinarian,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3746,Veterinarian,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
3747,Veterinarian,Writing,7,Intermediate,Write a detailed literature review
3748,Veterinarian,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3749,Veterinarian,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3750,Veterinarian,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3751,Conservator,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3752,Conservator,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
3753,Conservator,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
3754,Conservator,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3755,Conservator,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
3756,Conservator,Writing,6,Intermediate,Write a memo to staff outlining new directives
3757,Conservator,Reading,6,Intermediate,Read a memo from management describing new personnel policies
3758,Conservator,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3759,Conservator,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3760,Conservator,Oral communication,6,Intermediate,Give instructions to a lost driver
3761,Metallurgist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3762,Metallurgist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3763,Metallurgist,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
3764,Metallurgist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3765,Metallurgist,Teamwork,4,Intermediate,Cultivate a small informal network of people who may be able to advise on a project from a diverse range of perspectives.
3766,Metallurgist,Writing,7,Intermediate,Write a detailed literature review
3767,Metallurgist,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3768,Metallurgist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3769,Metallurgist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3770,Metallurgist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3771,Meteorologist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3772,Meteorologist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3773,Meteorologist,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
3774,Meteorologist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3775,Meteorologist,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
3776,Meteorologist,Writing,7,Intermediate,Write a detailed literature review
3777,Meteorologist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3778,Meteorologist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3779,Meteorologist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3780,Meteorologist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3781,Physicist,Numeracy,9,High,Develop a mathematical model to simulate and resolve an engineering problem
3782,Physicist,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
3783,Physicist,Writing,9,High,Write a novel for publication
3784,Physicist,Reading,10,High,"Identify the key concepts and arguments from a range of highly academic sources in a specialised, new field of knowledge and synthesise information in order to progress research"
3785,Physicist,Learning,9,High,Identify the implications of a new scientific theory for product design
3786,Physicist,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals
3787,Physicist,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
3788,Physicist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3789,Physicist,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
3790,Physicist,Teamwork,4,Intermediate,Cultivate a small informal network of people who may be able to advise on a project from a diverse range of perspectives.
3791,Early Childhood (Pre-primary School) Teacher,Digital engagement,3,Basic,Enter information into a database
3792,Early Childhood (Pre-primary School) Teacher,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3793,Early Childhood (Pre-primary School) Teacher,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3794,Early Childhood (Pre-primary School) Teacher,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
3795,Early Childhood (Pre-primary School) Teacher,Writing,5,Intermediate,Prepare a standard operating procedures document
3796,Early Childhood (Pre-primary School) Teacher,Reading,6,Intermediate,Read a memo from management describing new personnel policies
3797,Early Childhood (Pre-primary School) Teacher,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3798,Early Childhood (Pre-primary School) Teacher,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3799,Early Childhood (Pre-primary School) Teacher,Oral communication,6,Intermediate,Give instructions to a lost driver
3800,Early Childhood (Pre-primary School) Teacher,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3801,Primary School Teacher,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
3802,Primary School Teacher,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3803,Primary School Teacher,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3804,Primary School Teacher,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3805,Primary School Teacher,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3806,Primary School Teacher,Writing,7,Intermediate,Write a detailed literature review
3807,Primary School Teacher,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3808,Primary School Teacher,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
3809,Primary School Teacher,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3810,Primary School Teacher,Oral communication,6,Intermediate,Give instructions to a lost driver
3811,Middle School Teacher / Intermediate School Teacher,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
3812,Middle School Teacher / Intermediate School Teacher,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3813,Middle School Teacher / Intermediate School Teacher,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
3814,Middle School Teacher / Intermediate School Teacher,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3815,Middle School Teacher / Intermediate School Teacher,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3816,Middle School Teacher / Intermediate School Teacher,Writing,7,Intermediate,Write a detailed literature review
3817,Middle School Teacher / Intermediate School Teacher,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3818,Middle School Teacher / Intermediate School Teacher,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
3819,Middle School Teacher / Intermediate School Teacher,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3820,Middle School Teacher / Intermediate School Teacher,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3821,Secondary School Teacher,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3822,Secondary School Teacher,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3823,Secondary School Teacher,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3824,Secondary School Teacher,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3825,Secondary School Teacher,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3826,Secondary School Teacher,Writing,7,Intermediate,Write a detailed literature review
3827,Secondary School Teacher,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3828,Secondary School Teacher,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
3829,Secondary School Teacher,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3830,Secondary School Teacher,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3831,University Lecturer,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
3832,University Lecturer,Writing,8,High,Write a legally binding contract for services provided by one business to another
3833,University Lecturer,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3834,University Lecturer,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
3835,University Lecturer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3836,University Lecturer,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
3837,University Lecturer,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
3838,University Lecturer,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3839,University Lecturer,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3840,University Lecturer,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3841,University Tutor,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
3842,University Tutor,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3843,University Tutor,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
3844,University Tutor,Writing,6,Intermediate,Write a memo to staff outlining new directives
3845,University Tutor,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3846,University Tutor,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3847,University Tutor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3848,University Tutor,Oral communication,6,Intermediate,Give instructions to a lost driver
3849,University Tutor,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3850,University Tutor,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3851,Vocational Education Teacher / Polytechnic Teacher,Digital engagement,3,Basic,Enter information into a database
3852,Vocational Education Teacher / Polytechnic Teacher,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
3853,Vocational Education Teacher / Polytechnic Teacher,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3854,Vocational Education Teacher / Polytechnic Teacher,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
3855,Vocational Education Teacher / Polytechnic Teacher,Writing,7,Intermediate,Write a detailed literature review
3856,Vocational Education Teacher / Polytechnic Teacher,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3857,Vocational Education Teacher / Polytechnic Teacher,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
3858,Vocational Education Teacher / Polytechnic Teacher,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3859,Vocational Education Teacher / Polytechnic Teacher,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3860,Vocational Education Teacher / Polytechnic Teacher,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3861,Dance Teacher (Private Tuition),Numeracy,3,Basic,Count the amount of change to be given to a customer
3862,Dance Teacher (Private Tuition),Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3863,Dance Teacher (Private Tuition),Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
3864,Dance Teacher (Private Tuition),Teamwork,6,Intermediate,Initiate team problem solving sessions
3865,Dance Teacher (Private Tuition),Writing,6,Intermediate,Write a memo to staff outlining new directives
3866,Dance Teacher (Private Tuition),Reading,6,Intermediate,Read a memo from management describing new personnel policies
3867,Dance Teacher (Private Tuition),Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3868,Dance Teacher (Private Tuition),Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3869,Dance Teacher (Private Tuition),Oral communication,6,Intermediate,Give instructions to a lost driver
3870,Dance Teacher (Private Tuition),Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3871,Music Teacher (Private Tuition),Numeracy,3,Basic,Count the amount of change to be given to a customer
3872,Music Teacher (Private Tuition),Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3873,Music Teacher (Private Tuition),Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
3874,Music Teacher (Private Tuition),Teamwork,6,Intermediate,Initiate team problem solving sessions
3875,Music Teacher (Private Tuition),Writing,6,Intermediate,Write a memo to staff outlining new directives
3876,Music Teacher (Private Tuition),Reading,6,Intermediate,Read a memo from management describing new personnel policies
3877,Music Teacher (Private Tuition),Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3878,Music Teacher (Private Tuition),Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3879,Music Teacher (Private Tuition),Oral communication,6,Intermediate,Give instructions to a lost driver
3880,Music Teacher (Private Tuition),Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3881,Dietitian,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3882,Dietitian,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3883,Dietitian,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3884,Dietitian,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3885,Dietitian,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
3886,Dietitian,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
3887,Dietitian,Writing,7,Intermediate,Write a detailed literature review
3888,Dietitian,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3889,Dietitian,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3890,Dietitian,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3891,Nutritionist,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
3892,Nutritionist,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
3893,Nutritionist,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3894,Nutritionist,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
3895,Nutritionist,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
3896,Nutritionist,Writing,7,Intermediate,Write a detailed literature review
3897,Nutritionist,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3898,Nutritionist,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
3899,Nutritionist,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3900,Nutritionist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3901,Medical Diagnostic Radiographer,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3902,Medical Diagnostic Radiographer,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
3903,Medical Diagnostic Radiographer,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3904,Medical Diagnostic Radiographer,Writing,6,Intermediate,Write a memo to staff outlining new directives
3905,Medical Diagnostic Radiographer,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3906,Medical Diagnostic Radiographer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3907,Medical Diagnostic Radiographer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3908,Medical Diagnostic Radiographer,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
3909,Medical Diagnostic Radiographer,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3910,Medical Diagnostic Radiographer,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3911,Medical Radiation Therapist,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3912,Medical Radiation Therapist,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3913,Medical Radiation Therapist,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3914,Medical Radiation Therapist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3915,Medical Radiation Therapist,Writing,6,Intermediate,Write a memo to staff outlining new directives
3916,Medical Radiation Therapist,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3917,Medical Radiation Therapist,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3918,Medical Radiation Therapist,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3919,Medical Radiation Therapist,Oral communication,6,Intermediate,Give instructions to a lost driver
3920,Medical Radiation Therapist,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3921,Nuclear Medicine Technologist,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3922,Nuclear Medicine Technologist,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3923,Nuclear Medicine Technologist,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
3924,Nuclear Medicine Technologist,Writing,6,Intermediate,Write a memo to staff outlining new directives
3925,Nuclear Medicine Technologist,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3926,Nuclear Medicine Technologist,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3927,Nuclear Medicine Technologist,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3928,Nuclear Medicine Technologist,Oral communication,6,Intermediate,Give instructions to a lost driver
3929,Nuclear Medicine Technologist,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3930,Nuclear Medicine Technologist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
3931,Sonographer,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
3932,Sonographer,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
3933,Sonographer,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
3934,Sonographer,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3935,Sonographer,Writing,6,Intermediate,Write a memo to staff outlining new directives
3936,Sonographer,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
3937,Sonographer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
3938,Sonographer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
3939,Sonographer,Oral communication,6,Intermediate,Give instructions to a lost driver
3940,Sonographer,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
3941,Environmental Health Officer,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
3942,Environmental Health Officer,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
3943,Environmental Health Officer,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
3944,Environmental Health Officer,Teamwork,6,Intermediate,Initiate team problem solving sessions
3945,Environmental Health Officer,Writing,7,Intermediate,Write a detailed literature review
3946,Environmental Health Officer,Reading,6,Intermediate,Read a memo from management describing new personnel policies
3947,Environmental Health Officer,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
3948,Environmental Health Officer,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
3949,Environmental Health Officer,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
